id;pnr_number;booking_date;travelling_date;boarding_station;destination_station;boarding_time;arrival_time;total_fare;booking_status;mode_of_payment;additional_services;coach_number;seat_number
1;formal;2025-07-11T13:15:57;2025-07-11;busy alongside abaft;hm demobilise jiggle;2025-07-11T11:22:52;2025-07-11T08:50:39;2122.08;COMPLETED;DEBIT_CARD;true;barring chapel;as
2;loosely;2025-07-12T02:13:15;2025-07-11;ew jeopardise woot;midst calmly upright;2025-07-11T22:36:05;2025-07-11T07:40:51;1299.89;PENDING;DEBIT_CARD;true;below;worth warmly
3;brr fooey whether;2025-07-11T09:54:30;2025-07-11;er;unbearably colonialism;2025-07-11T07:48:16;2025-07-11T16:10:29;12414.65;COMPLETED;DEBIT_CARD;false;amongst emboss;bulky per emerge
4;frozen;2025-07-11T12:36:14;2025-07-11;avow duh observe;whose scrap;2025-07-11T10:54:25;2025-07-11T15:19:36;11560.33;CANCELLED;CREDIT_CARD;false;in;incline progress
5;briskly separate excluding;2025-07-12T00:30:19;2025-07-12;scratchy sophisticated personal;so willing eventually;2025-07-11T20:13:17;2025-07-11T14:23:26;15504.77;COMPLETED;DEBIT_CARD;false;what ragged reasoning;hubris extent
6;testify;2025-07-11T17:23:16;2025-07-12;athwart viciously;pixellate;2025-07-11T23:45:09;2025-07-12T03:40:05;20888.17;CONFIRMED;CREDIT_CARD;true;furiously;versus spook
7;spotless mmm dramatic;2025-07-11T09:46:59;2025-07-11;yippee carboxyl;stock instead;2025-07-11T14:56:35;2025-07-12T04:10:47;28513.07;CONFIRMED;DEBIT_CARD;true;common warmly;synthesise than
8;heavily tool;2025-07-11T17:16:13;2025-07-12;ew afore;oh defrag;2025-07-11T15:58:18;2025-07-11T15:59:03;24156.35;COMPLETED;DEBIT_CARD;false;unless;marvelous
9;jump wherever except;2025-07-12T00:12:47;2025-07-12;judgementally;nippy;2025-07-12T00:09:38;2025-07-11T19:20:09;8038.07;COMPLETED;CREDIT_CARD;false;obtrude supposing via;puzzled beneath
10;until;2025-07-11T20:51:45;2025-07-12;upon deduce ouch;eek friendly sharply;2025-07-11T21:50:04;2025-07-11T06:55:17;8677.54;CANCELLED;DEBIT_CARD;false;inject why under;chap however highly
