id;coach_id;coach_name;seat_capacity;fare_multiplier
1;neighboring;but;4937;16640.32
2;whopping furthermore;if off;27517;20791.04
3;whenever secrecy aw;fisherman;7172;21217.53
4;aboard yippee straight;needily about;18450;20935.68
5;yet;scholarship around innovate;12811;5361.56
6;confute by;down petal unlined;28935;4385.06
7;far disadvantage regarding;smoothly tinted;31283;1954.37
8;yuck;elderly sans;27846;12349.48
9;lean;obnoxiously throughout;28825;6738.12
10;gosh zowie;if aw uh-huh;23499;2820.75
