id;invoice_number;payment_id;transaction_id;receipt_number;invoice_date;transaction_type;transaction_amount;transaction_status;customer_details
1;self-confidence;hence given leap;less whose scrap;but;2025-07-12T03:14:41;DEBIT;18793.39;FAILED;duh rotten cruelly
2;viciously until stir-fry;offensively;bah legend;weird in woefully;2025-07-11T11:12:42;CREDIT;20817.79;PENDING;dally never
3;aw serpentine;gah though er;although;awkwardly perfumed;2025-07-12T00:12:44;DEBIT;25199.94;FAILED;needy swim
4;apropos since off;ouch;which uh-huh;story excluding;2025-07-11T21:38:19;DEBIT;17120.33;SUCCESS;seldom likewise
5;how;as whoever beneath;or alongside inasmuch;oof zowie ew;2025-07-11T22:56:15;CREDIT;1486.62;FAILED;hyphenation quickly famously
6;naturally thoughtfully derby;yuck bar;fairly;meanwhile;2025-07-12T05:43:26;DEBIT;14130.78;SUCCESS;cemetery
7;until avaricious near;besmirch middle suckle;yuck out;restfully;2025-07-12T00:27:28;CREDIT;30247.58;FAILED;jealously with unimpressively
8;hence upright;gracious impolite magnetize;bran;hot;2025-07-11T09:23:33;DEBIT;22868;SUCCESS;venture edible parody
9;unless forceful wilt;who;pro ha;search grandiose;2025-07-12T03:58:58;CREDIT;13641.25;PENDING;really gut volleyball
10;clear;ameliorate;mainstream charlatan;prickly;2025-07-11T19:53:12;DEBIT;7388.21;SUCCESS;mean
