id;train_number;train_name;origin;destination;intermediate_stop;service_start_date;service_end_date;service_type;departure_time;arrival_time;basic_price;is_active
1;yippee because;yippee regarding settler;up impractical tall;evenly for;oof blah;2025-07-12;2025-07-11;WEEKLY;2025-07-11T11:50:05;2025-07-11T16:01:50;28763.68;true
2;among square worth;upset scorpion stark;popularity fictionalize;finding;too but;2025-07-11;2025-07-11;WEEKLY;2025-07-11T10:10:33;2025-07-11T17:17:00;21936.85;false
3;whoa;gadzooks why;yum cardboard attraction;derby;welcome hence;2025-07-12;2025-07-11;WEEKLY;2025-07-11T11:07:35;2025-07-12T05:21:51;17728.53;false
4;and;reward typeface;hoot squeaky among;near;inasmuch;2025-07-11;2025-07-11;WEEKLY;2025-07-12T02:12:52;2025-07-11T15:09:24;15650.41;false
5;pro;tomography thoughtfully cautious;dreamily;or;through acidic frequent;2025-07-11;2025-07-11;WEEKLY;2025-07-11T08:02:19;2025-07-11T09:21:24;21137.2;true
6;truthfully how downright;gah;inasmuch blah;sinful stealthily floodlight;fuel;2025-07-11;2025-07-11;WEEKLY;2025-07-11T19:38:33;2025-07-12T03:11:03;27917.16;false
7;excepting acidly;personalise;roger via fluctuate;importance about afterwards;hastily pish save;2025-07-11;2025-07-11;WEEKLY;2025-07-11T06:37:59;2025-07-11T17:36:39;14930.79;false
8;tributary correctly holster;hence apt;shrilly brr;crumble lively supplier;gently as;2025-07-11;2025-07-11;DAILY;2025-07-11T06:49:22;2025-07-12T02:05:53;25863.96;true
9;whoever;justly among wholly;gah lox stack;unless psst supposing;digitize little;2025-07-11;2025-07-12;DAILY;2025-07-12T02:37:45;2025-07-12T03:19:34;18481.8;false
10;but electronics yuck;angrily;zowie given;demob wavy circa;exterior arrogantly however;2025-07-12;2025-07-11;WEEKLY;2025-07-11T08:28:02;2025-07-11T11:25:15;14924.48;false
